id,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
https://doi.org/10.18968/jhbl.87.0_1,NJ83P2E8,journalArticle,1999,"Klazenga, Niels","A revision of the Malesian species of Dicranoloma (Dicranaceae, Musci)",The Journal of the Hattori Botanical Laboratory,,,10.18968/jhbl.87.0_1,,,1999,2022-07-29 02:41:39,2022-07-29 02:43:02,,1-130,,,87,,,,,,,,,,,,,,,J-Stage,,,,C:\Users\nklazenga\Zotero\storage\ZLHUI9WC\Klazenga - 1999 - A REVISION OF THE MALESIAN SPECIES OF DICRANOLO.pdf; C:\Users\nklazenga\Zotero\storage\928Y2X8H\en.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:HE6KA2A4,HE6KA2A4,journalArticle,1901,"Renauld, F.",Nouvelle classification des Leucoloma,Revue Bryologique,,,,,,1901,2022-12-18 10:40:36,2022-12-18 10:42:22,,"66-70, 85-87",,,28,,Rev. Bryol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.tropicos.org/publication/667,Q2GSNWKK,book,1844,"Hampe, E.",Icones Muscorum,,,,,,,1844,2022-12-15 23:59:25,2022-12-16 00:00:38,,,,,,,,,,,,,,Bonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:QCZTMYTT,QCZTMYTT,bookSection,1901,"Brotherus, V.F.",Dicranaceae,Die natürlichen Pflanzenfamilien,,,,,,1901,2022-12-16 00:01:04,2022-12-16 00:26:33,,289-342,,,"T. 1, Abt. 3, H. 1",,,,,,,,,Leipzig,,,,,,,,,,,,,,"Engler, A.; Prantl, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.tropicos.org/publication/658,48MX4M6M,book,1901,"Müller, C.",Genera muscorum frondosorum,,,,,,,1901,2022-12-16 00:22:01,2022-12-16 00:23:04,,,,,,,,,,,,,,Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.tropicos.org/publication/4881,HXI8UJD9,book,1909,"Renauld, F.",Essai sur les Leucoloma,,,,,,,1909,2022-12-16 00:24:17,2022-12-16 00:25:29,,,,,,,,,,,,,,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:7CXQYQDB,7CXQYQDB,journalArticle,1901,"Cardot, J.",Notes sur deux collections de mousses de l'archipel indien,Revue Bryologique,,,,,,1901,2022-12-16 00:29:12,2022-12-16 00:31:04,,112-118,,,28,,Rev. Bryol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:PS5TWLLZ,PS5TWLLZ,book,1901,"Fleischer, M.",Die Musci der Flora von Buitenzorg,,,,,,,1901,2022-12-16 00:32:48,2022-12-16 00:34:19,,,,,1,,,,,,,,,Leiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:JHNVI8D4,JHNVI8D4,journalArticle,1905,"Brotherus, V.F.",Contributions to the bryological flora of the Philippines. 1,Öfversigt af Finska Vetenskaps-Societetens Förhandlingar,,,,,,1905,2022-12-16 00:35:45,2022-12-16 00:38:16,,1-12,,14,47,,Öfv. Förh. Finsk. Vet.-Soc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:TJW6677Q,TJW6677Q,journalArticle,1918,"Brotherus, V.F.",Contributions to the bryological flora of the Philippines. V,"The Philippine Journal of Science. Section C, Botany",,,,,,1918,2022-12-16 00:39:07,2022-12-16 00:42:35,,201-222,,,13,,"Philipp. J. Sci., C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:WH2VEJW4,WH2VEJW4,journalArticle,1935,"Dixon, H.N.",A contribution to the moss flora of Borneo,"Journal of the Linnean Society, Botany",,,,,,1935,2022-12-16 00:43:36,2022-12-16 00:45:53,,47-140,,,50,,"J. Linn. Soc., Bot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:ZCFFTZHT,ZCFFTZHT,journalArticle,1936,"Bartram, E.B.","Bornean mosses, principally from Mount Kinabalu",Philippine Journal of Science,,,,,,1936,2022-12-16 00:47:30,2022-12-16 00:49:44,,235-251,,,61,,Philipp. J. Sci.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:2R6W6BY5,2R6W6BY5,journalArticle,1953,"Noguchi, A.","Mosses of Mt. Sarawaket, New Guinea",Journal of the Hattori Botanical Laboratory,,,,,,1953,2022-12-16 00:50:24,2022-12-16 00:52:23,,1-23,,,10,,J. Hattori Bot. Lab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:EE7TDMF8,EE7TDMF8,journalArticle,1964,"Zanten, B.O. van",Mosses of the Star Mountain expedition,"Nova Guinea, Botany",,,,,,1964,2022-12-16 00:54:04,2022-12-16 00:56:14,,263-368,,,10,,"Nova Guinea, Bot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_:JVTZRNZJ,JVTZRNZJ,journalArtical,1983,"Tan, B.C.; Koponen, T.","Dicranoloma (Musci, Dicranaceae) in Southeast Asia, with special reference to the Philippine taxa",Annales Botanici Fennici,,,,,,1983,2022-12-20 20:10:58,2022-12-21 20:14:15,,317-334,,,20,,Ann. Bot.Fenn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
